loan_amnt,funded_amnt,funded_amnt_inv,term,batch_enrolled,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim
6000,6000,6000,36 months,BAT3274746,11.99,B,B3,3rd Mate,4 years,MORTGAGE,104000,495xx,MI,14.26,0,2,54,,13,0,16497,58.5,20,231.4,0,0,0,0,54,INDIVIDUAL,17th week,0,0,248115,28200
6000,6000,6000,36 months, ,14.31,C,C4,,n/a,RENT,23200,328xx,FL,31.25,1,0,10,,12,0,8132,30.3,26,448.25,0,0,0,0,,INDIVIDUAL,30th week,0,0,16592,26800
21600,21600,21600,60 months,BAT422167,8.18,B,B1,Maintenance,10+ years,MORTGAGE,107000,212xx,MD,16.88,0,0,,85,8,1,7168,64,22,978.5,0,0,0,0,,INDIVIDUAL,31th week,0,0,90651,11200
17000,17000,16950,36 months, ,11.55,B,B3,postal service,10+ years,OWN,95000,103xx,NY,14.15,0,0,24,,17,0,24204,39.9,40,3047.58,0,0,0,0,,INDIVIDUAL,126th week,0,0,378621,60700
10000,10000,10000,60 months,BAT4106493,13.33,C,C3,Mail carrier,10+ years,OWN,55700,281xx,NC,26.63,0,1,,,23,0,16685,54.9,29,213.44,0,0,0,0,,INDIVIDUAL,9th week,0,0,35978,30400
30000,30000,30000,60 months, ,17.57,D,D4,Documetn Control Manager,1 year,RENT,1.00E+05,940xx,CA,12.54,0,1,31,84,11,1,17923,64.9,19,1274.54,0,0,0,0,,INDIVIDUAL,13th week,0,159,30181,27600
6350,6350,6350,36 months,BAT3016651,23.43,F,F1,trucking assistant,3 years,RENT,20000,481xx,MI,14.05,0,1,,,3,0,7721,93,8,2029.91,0,0,0,0,,INDIVIDUAL,91th week,0,0,7721,8300
1200,1200,1200,36 months, ,7.9,A,A4,Twin Peaks,4 years,RENT,24000,303xx,GA,14.86,0,0,,,14,0,5142,39.9,17,0,0,68.84,0.62,0,,INDIVIDUAL,NAth week,0,,,
20000,20000,20000,36 months, ,17.1,C,C5,sales associate,< 1 year,MORTGAGE,60000,750xx,TX,14.16,0,1,44,98,11,1,13263,68,18,5176.02,0,0,0,0,,INDIVIDUAL,113th week,0,314,83501,19500
27600,27600,27600,60 months,BAT3016651,15.31,C,C4,CLAIMS SUPERVISOR,10+ years,RENT,60000,306xx,GA,17.5,0,0,,,11,0,29265,84.6,28,6495.99,0,0,0,0,,INDIVIDUAL,91th week,0,203,31287,34600
35000,35000,35000,36 months,BAT4711174,14.98,C,C3,Operator,10+ years,MORTGAGE,80000,365xx,AL,20.94,0,1,,,12,0,27352,73.7,35,5756.61,0,4754.1,855.738,0,,INDIVIDUAL,74th week,0,0,113870,37100
5750,5750,5750,36 months,,13.98,C,C3,Branch Assistant Manager,10+ years,MORTGAGE,65500,330xx,FL,21.01,0,0,44,,17,0,8573,53.6,38,789.48,0,0,0,0,44,INDIVIDUAL,61th week,0,442,283104,16000
22500,22500,22500,36 months,,7.49,A,A4,NCI Inc.,1 year,MORTGAGE,55550,275xx,NC,14.82,0,0,,,12,0,13915,28.2,59,2493.86,0,0,0,0,,INDIVIDUAL,118th week,0,,,
11500,11500,11500,36 months,BAT5319342,11.67,B,B4,waitress/bartender,5 years,RENT,40000,432xx,OH,21.99,0,0,,,12,0,8362,50.1,12,1592.35,0,0,0,0,,INDIVIDUAL,78th week,0,0,27463,16700
35000,35000,35000,36 months,BAT4268557,9.99,B,B3,registered nurse,10+ years,MORTGAGE,230000,945xx,CA,21.47,0,0,,,18,0,52678,81,42,1084.57,0,0,0,0,,INDIVIDUAL,17th week,0,0,903910,65000
35000,35000,35000,36 months,BAT4268557,10.99,B,B4,Principal,4 years,MORTGAGE,72000,371xx,TN,28.05,0,0,30,,11,0,14115,96,26,2564.19,0,0,0,0,,INDIVIDUAL,39th week,0,0,333779,14700
24000,24000,24000,60 months, ,10.99,B,B4,Manager,3 years,RENT,92000,019xx,MA,6.35,0,2,,,29,0,5358,8.1,50,1247.51,0,0,0,0,,INDIVIDUAL,26th week,0,0,128941,65800
18000,18000,17975,36 months,BAT3016651,9.67,B,B1,DSP-Direct Supporting Professional,10+ years,RENT,40000,115xx,NY,25.32,0,0,56,109,8,1,12093,48.6,17,2274.55,0,0,0,0,56,INDIVIDUAL,91th week,0,0,21253,24900
20000,20000,20000,36 months,,5.32,A,A1,Payroll Manager,10+ years,MORTGAGE,95100,953xx,CA,23.72,0,0,43,,14,0,38672,61.8,35,485.82,0,0,0,0,43,INDIVIDUAL,26th week,0,0,360745,62600
20000,20000,20000,60 months,BAT5260863,13.99,C,C4,Project Manager,7 years,MORTGAGE,57000,454xx,OH,19.12,2,1,6,110,21,1,12490,80.6,29,660.26,0,0,0,0,6,INDIVIDUAL,13th week,0,0,112760,15500
20000,20000,20000,60 months, ,13.67,C,C4,Senior branch manager,10+ years,OWN,72000,481xx,MI,14.7,1,0,13,,32,0,15405,72,57,311.38,0,0,0,0,,INDIVIDUAL,4th week,0,0,259945,21400
12000,12000,11950,36 months, ,11.99,B,B3,security officer,10+ years,RENT,55000,112xx,NY,7.41,0,0,,82,12,1,12521,43.6,16,1387.68,0,0,0,0,,INDIVIDUAL,65th week,0,0,12521,28700
15600,15600,15600,36 months, ,12.05,C,C1,Sales,2 years,MORTGAGE,1.00E+05,461xx,IN,22.48,0,0,,86,8,1,721,36,26,299.23,0,0,0,0,,INDIVIDUAL,9th week,0,0,290482,2000
7000,7000,7000,36 months, ,7.12,A,A3,Owner,5 years,RENT,250000,891xx,NV,10.94,1,0,19,,5,0,15624,51.9,16,377.57,0,0,0,0,19,INDIVIDUAL,61th week,0,0,71837,30100
6525,6525,6500,36 months, ,16.99,D,D3,Machinist Lead,3 years,RENT,60000,982xx,WA,7.04,0,2,29,,8,0,2260,36.5,17,511.63,0,0,0,0,29,INDIVIDUAL,26th week,0,0,13733,6200
5000,5000,5000,36 months, ,12.99,B,B5,,n/a,MORTGAGE,52000,295xx,SC,17.12,0,1,28,44,17,1,6298,27,30,858.02,0,0,0,0,32,INDIVIDUAL,91th week,0,0,84037,23300
21550,21550,21550,36 months, ,15.31,C,C4,mechanic,10+ years,MORTGAGE,60000,761xx,TX,17.7,0,0,57,,17,0,48614,69,33,4520.97,0,0,0,0,,INDIVIDUAL,95th week,0,0,62272,70696
10000,10000,10000,36 months,,5.32,A,A1,Senior Associate,4 years,RENT,95000,100xx,NY,9.32,0,0,,,12,0,15096,59.9,32,283.29,0,0,0,0,,INDIVIDUAL,31th week,0,0,45177,25200
8500,8500,8500,36 months,,7.49,A,A4,service superviser,10+ years,RENT,33000,840xx,UT,7.85,0,0,,61,6,1,8154,48.2,31,580.89,0,0,0,0,,INDIVIDUAL,57th week,0,0,8154,16900
13225,13225,13225,60 months, ,25.57,F,F5,System Administrator,< 1 year,RENT,57000,600xx,IL,4.29,0,2,,,5,0,8077,88.8,6,6206.15,0,0,0,0,,INDIVIDUAL,109th week,0,0,45093,9100
12000,12000,12000,36 months,,7.62,A,A3,Peace Health,1 year,MORTGAGE,1.00E+05,974xx,OR,23.24,0,0,38,,9,0,35123,,42,1461.69,0,0,0,0,38,INDIVIDUAL,156th week,0,0,298372,35000
20000,20000,20000,60 months,BAT446479,14.49,C,C4,IT Manager,< 1 year,MORTGAGE,80000,333xx,FL,27.17,2,0,14,,11,0,32601,44.5,25,1451.74,0,0,0,0,14,INDIVIDUAL,26th week,0,0,241609,73300
3200,3200,3200,36 months,BAT5260863,9.17,B,B2,Media Director,6 years,MORTGAGE,44000,802xx,CO,34.32,0,1,68,,15,0,19125,61.7,25,46.68,0,0,0,0,68,INDIVIDUAL,13th week,0,0,207180,31000
15000,15000,15000,36 months,BAT5260863,11.53,B,B5,team leader,4 years,RENT,60000,018xx,MA,10.76,0,1,69,,7,0,5904,59,19,398.21,0,0,0,0,,INDIVIDUAL,13th week,0,0,17854,10000
27525,27525,27525,60 months,BAT6612051,18.84,E,E2,Maintenance Mechanic,10+ years,MORTGAGE,60000,605xx,IL,22.14,0,0,,,15,0,26394,73.7,22,3301.55,0,0,0,0,,INDIVIDUAL,35th week,0,0,177507,35800
24000,24000,24000,60 months,BAT6612051,15.61,D,D1,operator,7 years,MORTGAGE,120000,775xx,TX,18.33,1,0,7,,12,0,21029,80,18,2356.34,0,0,0,0,,INDIVIDUAL,39th week,0,0,198650,26300
30000,30000,30000,60 months, ,14.49,C,C4,Senior Manager,< 1 year,RENT,112000,945xx,CA,27.05,0,0,,,16,0,50562,83,41,4974.67,0,0,0,0,,INDIVIDUAL,65th week,0,0,96875,60900
15000,15000,15000,36 months,BAT4106493,16.55,D,D2,Sales Manager,10+ years,OWN,155000,891xx,NV,16.36,2,2,10,,7,0,1684,62.4,21,395.48,0,0,0,0,15,INDIVIDUAL,9th week,0,0,746647,2700
18000,18000,18000,36 months,,8.18,B,B1,Teacher,1 year,MORTGAGE,54000,775xx,TX,26.96,0,0,58,,10,0,11870,36.5,27,778.42,0,0,0,0,,INDIVIDUAL,31th week,0,656,146041,32500
35000,35000,35000,60 months, ,10.99,B,B4,sales,3 years,MORTGAGE,89000,738xx,OK,25.89,0,3,,,11,0,49158,73.3,23,2998.09,0,0,0,0,,INDIVIDUAL,44th week,0,0,229226,67100
10000,10000,10000,36 months, ,8.18,B,B1,lieutenant,7 years,MORTGAGE,38000,378xx,TN,26.09,0,0,,52,6,1,4894,57.6,22,139.2,0,0,0,0,,JOINT,9th week,0,0,106860,8500
16000,16000,16000,36 months,,10.99,B,B4,service,1 year,RENT,70000,117xx,NY,22.2,0,3,,,9,0,14934,83,16,858.78,0,0,0,0,,INDIVIDUAL,26th week,0,0,50966,17900
35000,35000,34875,36 months,,15.61,D,D1,office manager,10+ years,MORTGAGE,90000,959xx,CA,22.12,3,0,7,,16,0,29443,91.2,37,1730.32,0,0,0,0,,INDIVIDUAL,17th week,0,0,401784,32300
3000,3000,3000,36 months,BAT5046402,21.49,E,E3,,n/a,RENT,12552,300xx,GA,20.27,0,2,,,7,0,4770,51.8,11,526.15,0,0,0,0,,INDIVIDUAL,48th week,0,0,4770,9200
30000,30000,30000,60 months, ,16.29,C,C4,Amdocs,8 years,RENT,81751.58,618xx,IL,22.62,0,0,67,,18,0,30086,75.4,43,10730.96,0,0,0,0,67,INDIVIDUAL,144th week,0,0,50997,39900
12000,12000,11875,36 months,,10.99,B,B4,Facilities Manager,8 years,OWN,33000,277xx,NC,23.85,0,0,,66,8,1,12012,54.1,9,886.47,0,0,0,0,,INDIVIDUAL,39th week,0,0,12585,22200
21000,21000,20875,36 months, ,10.99,B,B2,Senior Associate,3 years,RENT,203000,100xx,NY,5.53,1,1,18,,8,0,14483,92.8,22,1986.79,0,0,0,0,,INDIVIDUAL,56th week,0,0,52043,15600
15225,15225,15225,36 months,BAT4664105,18.55,E,E2,Senior Human Resources,10+ years,RENT,55000,735xx,OK,30.63,1,0,19,,11,0,25717,79.6,30,1095.26,0,0,0,0,,INDIVIDUAL,22th week,0,0,174998,32300
23675,23675,23575,60 months, ,23.76,F,F4,King County,10+ years,OWN,79000,981xx,WA,13.49,0,3,,,15,0,29567,32.9,28,5730.83,0,0,0,0,,INDIVIDUAL,57th week,0,0,44252,90000
7200,7200,7200,36 months, ,17.27,C,C5,Homeland Security,6 years,MORTGAGE,37000,211xx,MD,29.65,0,0,50,54,11,1,3979,29.5,32,1802.52,0,0,0,0,53,INDIVIDUAL,100th week,0,0,35597,13500
4000,4000,4000,36 months, ,14.99,C,C5,Supervisor,4 years,MORTGAGE,50000,217xx,MD,10.44,0,1,,109,6,1,3954,77.5,8,619.98,0,0,0,0,,INDIVIDUAL,65th week,0,375,115944,5100
19575,19575,19525,60 months, ,23.7,F,F1,Field Engineer/E Line Operator,2 years,MORTGAGE,66000,703xx,LA,31.02,0,0,,,10,0,19742,80.6,27,2631.82,0,2641.46,26.4146,0,,INDIVIDUAL,30th week,0,0,197313,24500
2000,2000,2000,36 months,BAT3795313,7.74,A,A3,Chickasaw Nation,9 years,OWN,28000,748xx,OK,20.23,0,4,,,9,0,5121,17.7,21,247.76,0,0,0,0,,INDIVIDUAL,161th week,0,,,
3600,3600,3600,36 months,BAT3274746,10.99,B,B2,Teacher,9 years,RENT,42000,231xx,VA,2.74,0,0,,41,4,1,2727,14.4,35,519.25,0,0,0,0,,INDIVIDUAL,91th week,0,0,2727,19000
10000,10000,10000,36 months,BAT6004464,11.99,C,C1,Sales,3 years,MORTGAGE,111000,770xx,TX,26.16,0,2,24,,13,0,14166,50,14,93.26,0,0,0,0,16,INDIVIDUAL,4th week,0,0,257774,28152
8000,8000,8000,36 months, ,17.27,C,C5,Vitas Healthcare Milwaukee,6 years,RENT,35000,532xx,WI,17.14,0,1,70,,9,0,8688,78.3,16,1371.89,0,0,0,0,76,INDIVIDUAL,61th week,0,0,13671,11100
15000,15000,14900,36 months,BAT5662637,8.18,B,B1,PROJECT ASSISTANT,7 years,OWN,75000,115xx,NY,10.38,1,0,16,,5,0,11553,78.1,17,561.79,0,0,0,0,,INDIVIDUAL,26th week,0,0,15297,14800
22750,22750,22750,60 months,,20.5,E,E2,Union First Market Bank,6 years,MORTGAGE,75000,231xx,VA,22.27,1,0,17,,12,0,14759,65,29,4348.96,0,11.98,0,0,,INDIVIDUAL,65th week,0,,,
11200,11200,11200,36 months, ,14.33,C,C1,The Mobile Store,10+ years,OWN,65000,956xx,CA,4.18,0,0,,91,6,1,9047,72.4,12,2481.54,0,433.34,74.9574,0,,INDIVIDUAL,122th week,0,,,
8325,8325,8325,36 months,BAT5907542,13.11,B,B4,THINK Together,5 years,RENT,25000,917xx,CA,16.08,0,3,,,5,0,11718,81.4,5,1788.91,0,0,0,0,,INDIVIDUAL,156th week,0,0,11718,14400
22000,22000,21850,36 months,BAT4217242,6.62,A,A2,Dispatcher,6 years,OWN,50000,378xx,TN,21.46,0,0,,,8,0,18721,29.1,12,1826.84,0,0,0,0,,INDIVIDUAL,87th week,0,0,60162,64300
20000,20000,19900,36 months, ,8.39,A,A5,REGISTERED NURSE,< 1 year,MORTGAGE,1.00E+05,956xx,CA,5.91,2,0,9,,15,0,18636,54.5,47,1812.06,0,0,0,0,23,INDIVIDUAL,70th week,0,1419,316172,34200
6000,6000,6000,36 months,BAT6352293,7.62,A,A3,premier recycle,9 years,RENT,40000,951xx,CA,7.89,0,0,,,8,0,3803,25,16,728.37,0,0,0,0,,INDIVIDUAL,156th week,0,0,3803,15200
15000,15000,15000,36 months,BAT5060554,11.99,B,B5,Projects admin,10+ years,MORTGAGE,67000,774xx,TX,5.7,0,0,41,,8,0,8237,74.9,23,1541.03,0,0,0,0,59,INDIVIDUAL,52th week,0,170,107466,11000
17950,17950,17950,36 months,BAT5319342,13.35,C,C2,Sawyer,< 1 year,MORTGAGE,45000,465xx,IN,21.25,0,2,26,,13,0,9516,41.9,23,2741.54,0,0,0,0,,INDIVIDUAL,78th week,0,0,109805,22700
6000,6000,6000,36 months, ,16.59,D,D1,Ultrasound tech,10+ years,MORTGAGE,62871,912xx,CA,8.02,0,2,30,69,11,1,6456,61.5,24,1288.17,0,0,0,0,72,INDIVIDUAL,91th week,0,507,353279,10500
24000,24000,24000,36 months, ,6.24,A,A2,Sales Manager,10+ years,MORTGAGE,160000,601xx,IL,28.58,0,0,,,23,0,142107,54,39,575.58,0,0,0,0,,INDIVIDUAL,22th week,0,0,224502,263800
8000,8000,8000,36 months,BAT446479,12.99,C,C1,water treatment operator,10+ years,OWN,75000,142xx,NY,17.84,6,1,10,,17,0,1614,16.1,38,1187.76,0,0,0,0,,INDIVIDUAL,74th week,0,0,181157,10000
3600,3600,3600,36 months,BAT5060554,13.66,C,C3,Marine tech,8 years,RENT,36000,853xx,AZ,19.3,0,1,,82,10,1,3555,65.8,16,425.44,0,0,0,0,,INDIVIDUAL,52th week,0,0,18110,5400
10000,10000,10000,36 months,BAT4664105,11.53,B,B5,ARTICHETCH,1 year,RENT,162000,606xx,IL,3.82,1,0,23,,8,0,503,10.3,13,360.25,0,0,0,0,45,INDIVIDUAL,22th week,0,0,9331,4900
30000,30000,30000,60 months,BAT6248271,17.57,D,D4,RN,10+ years,RENT,65000,380xx,TN,38.11,0,1,32,24,9,1,27013,94.1,27,6039.5,0,0,0,0,,INDIVIDUAL,65th week,0,0,64231,28700
10000,10000,10000,36 months, ,12.69,C,C2,Facilities Services Rep Sr,9 years,MORTGAGE,78000,740xx,OK,21.28,0,0,,,8,0,11693,70.9,15,202.02,0,0,0,0,,INDIVIDUAL,9th week,0,1815,64722,16500
15000,15000,15000,36 months,BAT5241177,6.89,A,A3,Police Dispatcher,5 years,RENT,41000,018xx,MA,26.43,0,1,63,,13,0,23801,62,31,240.4,0,0,0,0,,INDIVIDUAL,13th week,0,0,29322,38400
9000,9000,9000,36 months, ,6.62,A,A2,Designs By Ronnie,7 years,RENT,60000,115xx,NY,20.78,0,0,,,7,0,12744,64.4,18,941.94,0,0,0,0,,INDIVIDUAL,148th week,0,,,
35000,35000,35000,36 months,BAT4664105,7.89,A,A5,Chief Estimator,2 years,MORTGAGE,155000,930xx,CA,17.95,2,1,14,,15,0,35695,34.2,38,1078.04,0,0,0,0,14,INDIVIDUAL,22th week,0,0,486153,104500
15025,15025,14950,36 months,BAT5662637,18.25,E,E1,Program Planner,10+ years,OWN,82500,902xx,CA,8.28,1,1,,,5,0,5406,69,11,1128.31,0,0,0,1,10,INDIVIDUAL,26th week,0,378,19232,7800
28000,28000,28000,36 months, ,15.8,C,C3,walmart,10+ years,MORTGAGE,90000,231xx,VA,22.09,1,1,14,,15,0,39700,61.3,34,4127.1,0,0,0,0,,INDIVIDUAL,56th week,0,0,53757,64800
6000,6000,6000,36 months,BAT4106493,12.05,C,C1,Registered nurse,2 years,OWN,51000,295xx,SC,12.79,1,0,2,,34,0,2855,4.9,48,115.08,0,0,0,1,2,INDIVIDUAL,9th week,1,0,62901,57800
17000,17000,17000,36 months,BAT3938478,20.2,D,D5,,n/a,RENT,43000,921xx,CA,23.87,0,2,46,95,15,1,17013,48.3,35,1370.46,0,2172.13,21.72129999,0,,INDIVIDUAL,22th week,0,0,26290,35200
10000,10000,10000,60 months, ,10.99,B,B4,Teacher,10+ years,RENT,54161,136xx,NY,16.15,0,0,,102,6,1,8939,94.1,13,610.41,0,0,0,0,,INDIVIDUAL,31th week,0,0,67878,9500
20000,20000,20000,36 months, ,18.55,D,D2,Sales,10+ years,RENT,74000,485xx,MI,15.52,0,1,,,9,0,15994,90.4,14,5766.63,0,0,0,0,,INDIVIDUAL,117th week,0,0,42956,17700
8000,8000,8000,36 months,BAT3840785,6.24,A,A2,Material specialist,8 years,RENT,59280,951xx,CA,18.02,0,0,49,,16,0,8647,20.8,22,266.11,0,0,0,0,,INDIVIDUAL,31th week,0,0,16314,41600
10000,10000,10000,36 months,BAT4031849,16.78,C,C5,Toys R Us,9 years,RENT,67700,923xx,CA,22.76,0,1,,,12,0,9975,73.9,15,2197.53,0,0,0,0,,INDIVIDUAL,87th week,0,0,39531,13500
8500,8500,8500,36 months,,13.18,C,C3,DEMAND PLANNER,< 1 year,MORTGAGE,70000,601xx,IL,15.4,0,0,59,,8,0,6263,44.7,20,118.25,0,0,0,0,59,INDIVIDUAL,4th week,0,547,125063,14000
3000,3000,3000,36 months,BAT4138794,19.05,D,D4,St. Augustine High School,10+ years,MORTGAGE,85395,921xx,CA,28.74,4,0,9,,7,0,7416,74.2,30,961.51,0,0,0,0,,INDIVIDUAL,156th week,0,0,449922,10000
10250,10250,10225,60 months, ,16.99,D,D3,painter,10+ years,RENT,31000,740xx,OK,27.99,0,1,74,,6,0,2387,25.7,11,445.2,0,0,0,0,,INDIVIDUAL,13th week,0,0,28407,9300
6000,6000,6000,36 months,BAT3563724,7.62,A,A3,home preservation specialist,3 years,MORTGAGE,43000,782xx,TX,22.27,0,0,45,,19,0,9253,63.4,47,549.17,0,0,0,0,,INDIVIDUAL,78th week,0,91,235915,14600
11375,11375,11375,36 months,BAT4664105,18.25,E,E1,Security officer,2 years,OWN,22750,330xx,FL,39.58,0,0,,,5,0,15933,91,5,658.36,0,0,0,0,,INDIVIDUAL,22th week,0,0,37265,17500
15000,15000,15000,60 months, ,24.99,F,F4,Engineer,10+ years,RENT,120000,064xx,CT,6.35,3,1,11,72,10,2,2353,27.4,23,5919.76,0,0,0,0,22,INDIVIDUAL,91th week,0,0,17625,8600
5000,5000,5000,36 months, ,15.61,D,D1,Operations Manager,5 years,RENT,75000,941xx,CA,13.58,0,1,,,9,0,3120,19.1,26,247.18,0,0,0,0,,INDIVIDUAL,17th week,0,0,42769,16300
21000,21000,21000,36 months,BAT5319342,13.98,C,C3,Operations manager Cleveland,10+ years,RENT,92700,441xx,OH,20.43,0,1,49,,16,0,11468,54.4,23,3531.9,0,0,0,0,,INDIVIDUAL,78th week,0,0,49129,21100
20000,20000,20000,60 months,BAT6612051,21.67,E,E5,Accountant,1 year,MORTGAGE,60000,164xx,PA,21.7,0,0,,,22,0,33471,93.7,28,2086.05,0,0,0,0,,INDIVIDUAL,26th week,0,0,234602,74300
5450,5450,5450,36 months,BAT4729018,9.17,B,B2,Utility pipeline inspector,< 1 year,MORTGAGE,180000,592xx,MT,9.13,1,2,22,34,6,2,1463,28.7,16,364.56,0,0,0,0,26,INDIVIDUAL,43th week,0,71,67590,5100
12000,12000,12000,36 months,BAT5260863,9.99,B,B3,,n/a,RENT,41000,027xx,MA,11.53,0,0,59,37,6,1,5435,44.2,17,204.07,0,0,0,0,,INDIVIDUAL,13th week,0,0,6297,12300
25000,25000,25000,60 months,,17.1,C,C5,Manager,9 years,MORTGAGE,70000,610xx,IL,18.77,0,1,,,10,0,39807,80,27,7802.8,0,0,0,0,,INDIVIDUAL,109th week,0,0,167987,49758
9500,9500,9500,36 months, ,9.99,B,B3,Full time nurse,10+ years,OWN,38000,147xx,NY,32.38,0,1,,,11,0,2511,16,15,145.74,0,0,0,0,,INDIVIDUAL,9th week,0,56,56859,15700
15000,15000,15000,36 months, ,8.18,B,B1,Sales Manager,6 years,MORTGAGE,150000,801xx,CO,11.43,2,0,3,,16,0,15507,39.7,29,191.76,0,0,0,0,64,INDIVIDUAL,9th week,0,0,281791,39100
8000,8000,8000,36 months,BAT4729018,7.89,A,A5,Teacher,6 years,MORTGAGE,57500,334xx,FL,10.58,0,0,,,8,0,5216,41.1,22,337.09,0,0,0,0,,INDIVIDUAL,30th week,0,0,470635,12700
35000,35000,35000,36 months, ,16.29,C,C4,nyc dept of correction,10+ years,MORTGAGE,125000,117xx,NY,12.82,0,1,78,,11,0,18248,53,28,9380.01,0,0,0,0,78,INDIVIDUAL,144th week,0,0,57494,34400
11500,11500,11500,60 months, ,12.69,C,C2,Manager,7 years,OWN,45000,315xx,GA,39.07,0,1,33,,15,0,6031,33.9,24,691.22,0,0,0,0,,INDIVIDUAL,26th week,0,0,90542,17800
25000,25000,25000,36 months, ,8.9,A,A5,Senior Business Analyst,1 year,MORTGAGE,80000,613xx,IL,8.06,0,0,24,,17,0,31059,59,50,2900.1,0,0,0,0,,INDIVIDUAL,91th week,0,204,182171,52600
20000,20000,20000,36 months,BAT5046402,11.14,B,B2,Middleoak,10+ years,MORTGAGE,170000,064xx,CT,15.53,0,1,,,15,0,34578,86.7,36,2533.74,0,0,0,0,,INDIVIDUAL,78th week,0,0,364154,39900
12000,12000,12000,60 months,BAT6612051,12.29,C,C1,manager,5 years,RENT,37654,480xx,MI,35.99,0,0,42,89,10,1,5879,39.2,14,924.13,0,0,0,0,,INDIVIDUAL,35th week,0,0,48841,15000
21000,21000,20950,36 months,BAT3016651,10.99,B,B2,Deputy COO,4 years,MORTGAGE,150000,337xx,FL,14.26,0,0,,,13,0,35104,62.2,19,2238.43,0,0,0,0,,INDIVIDUAL,57th week,0,0,233379,56400
12000,12000,12000,36 months, ,20.2,E,E3,service tech,10+ years,RENT,45000,704xx,LA,12.73,0,0,34,69,13,1,5537,43.3,19,2822.52,0,0,0,0,,INDIVIDUAL,74th week,0,89,11345,12800
25000,25000,25000,60 months, ,15.61,D,D1,Registered Nurse,4 years,RENT,90000,330xx,FL,11.49,0,0,,,5,0,9899,53.9,11,1796.41,0,0,0,0,,INDIVIDUAL,26th week,0,0,34525,16700
3300,3300,3300,60 months, ,13.99,C,C1,metropolitan police department,3 years,RENT,70000,222xx,VA,9.27,1,0,17,,14,0,712,10.5,21,1203.61,0,0,0,0,,INDIVIDUAL,200th week,0,,,
31150,31150,31150,60 months, ,17.27,C,C5,PVH Corp.,6 years,RENT,72200,100xx,NY,21.01,0,0,,,10,0,31600,39.5,23,6923.15,0,0,0,0,,INDIVIDUAL,74th week,0,0,46197,80072
